"Gene","adj.P.Val","adj.P.Val.1","adj.P.Val.2"
"TC13001572.hg.1:1",1.66185113205054e-06,3.01159036095162e-38,1.67536537040644e-20
"TC08000814.hg.1:2",1.70872682229973e-06,1.46000604330919e-47,8.64409391291391e-23
"TC12002059.hg.1:1",1.71540414110259e-06,5.6690039854089e-50,2.04650095732366e-25
"TC11000541.hg.1:2",1.71540414110259e-06,8.59883318714062e-38,4.65121582464931e-22
"TC01004071.hg.1:1",1.74088086325086e-06,6.98455289619228e-43,7.45898903592653e-18
"TC09000207.hg.1:3",1.80436515523423e-06,9.80411437930701e-22,4.7038196604824e-12
"TC11003472.hg.1:1",1.8168582223081e-06,1.12623530138685e-25,1.02707948143749e-17
"TC17002906.hg.1:3",2.0281773765887e-06,1.66758117957244e-45,9.65009834357087e-21
"TC0X000727.hg.1:2",2.24348362111058e-06,3.4933902191146e-35,1.22550992983833e-25
"TC02000551.hg.1:1",2.26330678481791e-06,7.11097276357443e-26,1.98861583553966e-23
"TC20001235.hg.1:1",2.26330678481791e-06,7.1469938007414e-26,1.00245956550293e-14
"TC02002624.hg.1:1",2.27081320271816e-06,7.59367356974771e-49,2.37264334153944e-25
"TC19000578.hg.1:1",2.39948742005805e-06,1.3640281994165e-18,8.38270011572716e-13
"TC0X001406.hg.1:1",2.39993143691875e-06,2.38537033657063e-21,1.84205592556599e-14
"TC05000298.hg.1:3",2.41183831387334e-06,2.41924074907828e-27,4.87873529342204e-15
"TC17002461.hg.1:1",2.46629921900862e-06,2.04963648085445e-38,1.33092355447689e-19
"TC03001380.hg.1:2",2.47784643206129e-06,5.83777834202222e-55,4.16016219481299e-26
"TC08000549.hg.1:1",2.50342749151164e-06,9.1034192132403e-30,1.60151998137651e-15
"TC10000106.hg.1:1",2.60074402051656e-06,9.5620259912342e-31,2.97280708013606e-16
"TC17000077.hg.1:2",2.64293343446447e-06,5.41061070911842e-46,8.13144974168116e-24
"TC02001072.hg.1:2",2.64293343446447e-06,4.00173470330215e-41,1.28096079550581e-22
"TC07001605.hg.1:1",2.67518777314634e-06,4.24063073388992e-42,9.35112898196262e-25
"TC01000928.hg.1:1",2.71097194771426e-06,1.55728453019868e-19,1.75428240083578e-09
"TC17000312.hg.1:1",2.72190675781625e-06,5.48232779185623e-32,2.29873759172113e-19
"TC06001338.hg.1:1",2.8421386768632e-06,7.81391152049027e-34,4.53151108832372e-23
"TC19001676.hg.1:6",2.84323730427351e-06,2.42835723927795e-39,2.90078383065975e-17
"TC06000178.hg.1:1",2.85224596055283e-06,4.4218553834618e-40,2.84293007060838e-26
"TC06000372.hg.1:4",2.86046920499502e-06,6.53955772179763e-32,4.83480779226176e-13
"TC13000612.hg.1:1",2.90894618072602e-06,2.5269798260091e-50,8.28950370285399e-26
"TC12002572.hg.1:1",2.90894618072602e-06,9.78898495384725e-50,2.07085148175978e-26
"TC17000545.hg.1:1",2.96265009909671e-06,2.49393281651046e-50,3.62785571650063e-25
"TC09000567.hg.1:2",2.96842684116124e-06,7.62490098102353e-50,1.28096079550581e-22
"TC15001904.hg.1:2",3.00484682013342e-06,5.44124543919349e-34,1.29681256201339e-16
"TC03000632.hg.1:2",3.03229067429553e-06,1.40861658955331e-47,1.58558826182111e-25
"TC05001240.hg.1:1",3.06108076744057e-06,7.09669364832032e-29,9.9883100515225e-14
"TC09002186.hg.1:1",3.07491845181991e-06,1.52986498013133e-45,1.37339236035264e-21
"TC11002362.hg.1:1",3.16489107230604e-06,8.83606055569877e-21,4.57989371847167e-10
"TC12001116.hg.1:1",3.17426040596355e-06,7.95621150983604e-45,1.1484670209171e-23
"TC09001025.hg.1:6",3.24360477019191e-06,3.7827685885065e-06,0.00172946726130904
"TC02002481.hg.1:1",3.50047277903535e-06,8.7025595830235e-48,2.84293007060838e-26
"TC19000097.hg.1:4",3.50047277903535e-06,2.24420114300256e-29,5.05025183624383e-14
"TC14000163.hg.1:1",3.65971848709015e-06,2.02158697156918e-33,6.6181289441188e-13
"TC14002259.hg.1:1",3.84061490323157e-06,1.40161120438451e-30,3.04979927959447e-24
"TC14002207.hg.1:1",3.97726891795883e-06,5.89612907378675e-40,2.84293007060838e-26
"TC11001892.hg.1:1",3.97726891795883e-06,1.69236775318292e-22,9.17141103381903e-17
"TC12000886.hg.1:1",3.97726891795883e-06,9.78898495384725e-50,2.76872643992291e-25
"TC22001441.hg.1:1",3.97726891795883e-06,2.77130840623017e-33,4.42295874769403e-26
"TC12000974.hg.1:2",4.03679841530725e-06,1.21897158173136e-17,4.43921019075921e-13
"TC01000992.hg.1:4",4.10560467396224e-06,6.91195266624338e-40,9.44465701945953e-21
"TC18000509.hg.1:1",4.10560467396224e-06,6.81188915804965e-26,1.01801419640909e-12
"TC07000235.hg.1:3",4.14127450732811e-06,3.67483292804285e-17,7.16874833973381e-11
"TC21000119.hg.1:1",4.14127450732811e-06,1.92509055463173e-27,1.19779923828198e-13
"TC17000531.hg.1:1",4.24096402814153e-06,1.50800996216331e-25,1.34292148034086e-19
"TC10001505.hg.1:4",4.33260967413029e-06,6.59505303827138e-39,1.41095375389405e-21
"TC01003423.hg.1:3",4.44986101534825e-06,3.20797623566076e-40,2.08090047003582e-22
"TC01000794.hg.1:1",4.45762225188939e-06,1.65076515145753e-46,1.3881752169469e-23
"TC02004943.hg.1:1",4.45762225188939e-06,2.84753204866827e-41,3.26218150332565e-29
"TC03000873.hg.1:3",4.52002887625395e-06,4.78280499072134e-10,7.55497400069919e-08
"TC11003298.hg.1:1",4.61550673136857e-06,6.13819073768717e-33,1.6179812760163e-11
"TC18000950.hg.1:1",4.7962058132901e-06,1.30897546706944e-39,1.58471534689989e-20
"TC11002922.hg.1:1",4.86588797775244e-06,5.25679704633431e-36,5.08985124128404e-17
"TC06000268.hg.1:1",5.15506296503878e-06,8.87603178407794e-35,6.93564877643923e-21
"TC16000468.hg.1:2",5.15506296503878e-06,1.97343168981894e-39,2.53050801866781e-22
"TC22000121.hg.1:1",5.16857115266273e-06,1.02508720917461e-31,1.26276161810523e-22
"TC01000795.hg.1:1",5.16857115266273e-06,5.47502473700481e-46,9.14572126135788e-23
"TC02003660.hg.1:1",5.22858396787614e-06,6.11791817440739e-42,2.70203400824283e-21
"TC12001151.hg.1:2",5.39265049553631e-06,2.14785430138533e-15,8.0055434500029e-10
"TC14001442.hg.1:1",5.58973804495827e-06,5.75620448179568e-36,1.54232364507904e-18
"TC03003311.hg.1:1",5.74704130731274e-06,6.29504507170862e-40,6.41700308509758e-22
"TC17002136.hg.1:1",5.87124273616644e-06,4.00238867831663e-32,1.20867900872627e-19
"TC14002258.hg.1:1",6.37009501353343e-06,2.22391363853463e-39,3.24894664792449e-27
"TC06000545.hg.1:2",6.40805590467601e-06,1.46172039047296e-46,4.35510434614857e-24
"TC09000415.hg.1:2",6.70199202655994e-06,1.02962666328532e-30,1.24339292261369e-19
"TC06001768.hg.1:2",6.92337731159865e-06,3.91674359438025e-18,2.76632841072938e-08
"TC03001743.hg.1:1",6.93195852794417e-06,1.12491083024182e-29,7.97717010173306e-17
"TC02003715.hg.1:2",6.9780703788263e-06,3.55427599888607e-40,3.51622604306929e-22
"TC12000884.hg.1:2",7.3024959081045e-06,6.9904031237978e-47,6.76804899625574e-25
"TC14001463.hg.1:1",7.3024959081045e-06,3.21682665464695e-43,6.01470115022412e-27
"TC08001683.hg.1:1",7.30970047957458e-06,1.5510759566282e-29,3.33444781635635e-15
"TC08001584.hg.1:1",7.47115726928768e-06,8.64108735278336e-29,1.59329032215648e-19
"TC06000961.hg.1:5",7.66881359512481e-06,9.71317747465014e-43,4.57446740243934e-25
"TC02000150.hg.1:3",7.9317130581222e-06,2.05908556221567e-29,5.89352860162687e-19
"TC01000145.hg.1:3",8.00088960083036e-06,3.64375833912585e-44,5.75927493590071e-21
"TC22001442.hg.1:1",8.09713198640098e-06,3.99774552789747e-38,1.93570450436495e-27
"TC21000739.hg.1:1",8.15362341218959e-06,3.68030903871428e-45,2.1808756591097e-21
"TC12000885.hg.1:2",8.20955873059473e-06,4.77173465993564e-45,1.33365232015019e-22
"TC06001754.hg.1:1",8.29567287479535e-06,1.01105012146254e-23,1.18839283059634e-12
"TC16000632.hg.1:1",8.4700079074646e-06,2.75546701127585e-25,2.36236064178571e-14
"TC09000899.hg.1:2",8.50110925904063e-06,2.83280463408545e-28,3.88793037277207e-21
"TC02001991.hg.1:1",8.51306066811514e-06,9.62916256309925e-38,4.21591356050633e-21
"TC07001606.hg.1:1",8.829178664635e-06,1.31822897726373e-40,1.85427081950442e-23
"TC15002275.hg.1:1",8.96947966448023e-06,7.06946403272224e-34,2.82134221085674e-15
"TC19002491.hg.1:1",9.08975342399528e-06,3.45375310310823e-26,5.14470118547132e-14
"TC02001866.hg.1:2",9.2185901320667e-06,1.345098885967e-44,6.52255111172562e-24
"TC22001445.hg.1:2",9.23241326333583e-06,3.23995377846123e-38,8.28927993174e-26
